A
a. (in Etym.) 	adoption of, adopted from
Mataph. 	in Metaphysics
Meteorol. 	(as label) in Meteorology; (in titles) Meteorology, -ical
MHG. 	Middle High German
midl. 	midland (dialect)
Mil. 	in military usage
Min. 	(as label) in Mineralogy; (in titles) Mineralogy, - ical
Mineral. 	(in titles) Mineralogy, -ical
MLG. 	Middle Low German
Mics. 	(in titles) Miscellany, -eous
mod. 	modern
mod.L. 	modern Latin
(Morris) 	(quoted from) E. E. Morris's Austral English
Mus. 	(as label) in Music; (in titles) Music, -al; Museum
Myst. 	(in titles) Mystery
Mythol. 	in Mythology
N
N. 	North
n. 	neuter
N.Amer. 	North America, -n
N.&Q. 	Notes and Queries
Narr. 	(in titles) Narrative
Nat. 	(in titles) Natural
Nat. Hist. 	in Natural History
Naut. 	in nautical language
N.E. 	North East
N.E.D. 	New English Dictionary, original title of the Oxford English
Dictionary (first edition) Neurol. 	in Neurology
neut. (rarely n.) 	neuter
NF., NFr. 	Northern French
No. 	Number
nom. 	nominative
north. 	northern dialect
Norw. 	Norwegian
n.q. 	no quotations
N.T. 	New Testament
Nucl. 	Nuclear
Numism. 	in Numismatics
N.W. 	North West
N.Z. 	New Zealand
O
obj. 	object
obl. 	oblique
Obs., obs. 	obsolete
Obstetr. 	(in titles) Obstetric
occas. 	occasionally
OE. 	Old English (= Anglo-Saxon)
OF., OFr. 	Old French
OFris. 	Old Frisian
OHG. 	Old High German
OIr. 	Old Irish
ON. 	Old Norse
ONF. 	Old Northern French
Ophthalm. 	in Ophthalmology
opp. 	opposed (to), the opposite (of)
Opt. 	in Optics
Org. 	(in titles) Organic
orig. 	origin, -al, -ally
Ornith. 	(as label) in Ornithology; (in titles) Ornithology, -ical
OS. 	Old Saxon
OSl. 	Old (Church) Slavonic
O.T. 	Old Testament
Outl. 	(in titles) Outline
Oxf. 	(in titles) Oxford
P
p. 	page
Palaeogr. 	in Palaeography
Palaeont. in Palaeontology; (in titles) Palaeontology, -ical pa. pple. 	passive participle, past participle
(Partridge) 	(quoted from) E. Partridge's Dictionary of Slang and
Unconventional English pass. 	passive, -ly
pa.t. 	past tense
Path. 	(as label) in Pathology; (in titles) Pathology, - ical
perh. perhaps Pers. 	Persian
pers. 	person, -al
Petrogr. 	in Petrography
Petrol. 	(as label) in Petrology; (in titles) Petrology, - ical
(Pettman) 	(quoted from) C. Pettman's Africanderisms
pf. 	perfect
Pg. 	Portuguese
Pharm. 	in Pharmacology
Philol. 	(as label) in Philology; (in titles) Philology, - ical
Philos. 	(as label) in Philosophy; (in titles) Philosophy, - ic
phonet. 	phonetic, -ally
Photogr. 	(as label) in Photography; (in titles) Photography, -ical
phr. 	phrase
Phys. 	physical; (rarely) in Physiology
Physiol. 	(as label) in Physiology; (in titles) Physiology, -ical
Pict. 	(in titles) Picture, Pictorial
pl., plur. 	plural
poet. 	poetic, -al
Pol. 	Polish
Pol. 	(as label) in Politics; (in titles) Politics, - al
Pol. Econ. 	in Political Economy
Polit. 	(in titles) Politics, -al
pop. 	popular, -ly
Porc. 	(in titles) Porcelain
poss. 	possessive
Pott. 	(in titles) Pottery
ppl. a., pple. adj. 	participial adjective
pple. 	participle
Pr. 	Provencal
pr. 	present
Pract. 	(in titles) Practice, -al
prec. 	preceding (word or article)
pred. 	predicative
pref. 	prefix
pref., Pref. 	preface
prep. 	preposition
pres. 	present
Princ. 	(in titles) Principle, -s
priv. 	privative
prob. 	probably
Probl. 	(in titles) Problem
Proc. 	(in titles) Proceedings
pron. 	pronoun
pronunc. 	pronunciation
prop. 	properly
Pros. 	in Prosody
Prov. 	Provencal
pr. pple. 	present participle
Psych. 	in Psychology
Psychol. 	(as label) in Psychology; (in titles) Psychology, -ical
Publ. 	(in titles) Publications
Q
Q. 	(in titles) Quarterly
quot(s). 	quotation(s)
q.v. 	quod vide, 'which see'
R
R. 	(in titles) Royal
Radiol. 	in Radiology
R.C.Ch. 	Roman Catholic Church
Rec. 	(in titles) Record
redupl. 	reduplicating
Ref. 	(in titles) Reference
refash. 	refashioned, -ing
refl. 	reflexive
Reg. 	(in titles) Register
reg. 	regular
rel 	related to
Reminisc. 	(in titles) Reminiscence, -s
Rep. 	(in titles) Report, -s
repr. 	representative, representing
Res. 	(in titles) Research
Rev. 	(in titles) Review
rev. 	revised
Rhet. 	in Rhetoric
Rom. 	Roman, -ce, -ic
Rum. 	Rumanian
Russ. 	Russian
S
S. 	South
S.Afr. 	South Africa, -n
sb. 	substantive
sc. 	scilicet, 'understand' or 'supply'
Sc., Scot. 	Scottish
Scand. 	(in titles) Scandinavia, -n
Sch. 	(in titles) School
Sc. Nat. Dict. 	Scottish National Dictionary
Scotl. 	(in titles) Scotland
Sel. 	(in titles) Selection, -s
Ser. 	Series
sing. 	singular
Sk. 	(in titles) Sketch
Skr. 	Sanskrit
Slav. 	Slavonic
S.N.D. 	Scottish National Dictionary
Soc. 	(in titles) Society
Sociol. 	(as label) in Sociology; (in titles) Sociology, - ical
Sp. 	Spanish
Sp. 	(in titles) Speech, -es
sp. 	spelling
spec. 	specifically
Spec. 	(in titles) Specimen
St. 	Saint
Stand. 	Standard
Stanf. 	(quoted from) Stanford Dictionary of Anglicised Words & Phrases
str. 	strong
Struct. 	(in titles) Structure, -al
Stud. 	(in titles) Studies
subj. 	subject
subord. cl. 	subordinate clause
subseq. 	subsequent, -ly
subst. 	substantively
suff. 	suffix
superl. 	superlative
Suppl. 	Supplement
Surg. 	(as label) in Surgery; (in titles) Surgery, Surgical
s.v. 	sub voce, 'under the word'
Sw. 	Swedish
s.w. 	south-western (dialect)
Syd. Soc. Lex. 	Sydenham Society, Lexicon of Medicine & Allied Sciences
syll. 	syllable
Syr. 	Syrian
Syst. 	(in titles) System, -atic
T
Taxon. 	(in titles) Taxonomy, -ical
techn. 	technical, -ly
Technol. 	(in titles) Technology, -ical
Telegr. 	in Telegraphy
Teleph. 	in Telephony
(Th.) 	(quoted from) Thornton's American Glossary
Theatr. 	in the Theatre, theatrical
Theol. 	(as label) in Theology; (in titles) Theology, - ical
Theoret. 	(in titles) Theoretical
Tokh. 	Tokharian
tr., transl. 	translated, translation
Trans. 	(in titles) Transactions
trans. 	transitive
transf. 	transferred sense
Trav. 	(in titles) Travel(s)
Treas. 	(in titles) Treasury
Treat. 	(in titles) Treatise
Treatm. 	(in titles) Treatment
Trig. 	in Trigonometry
Trop. 	(in titles) Tropical
Turk. 	Turkish
Typog., Typogr. 	in Typography
U
ult. 	ultimately
Univ. 	(in titles) University
unkn. 	unknown
U.S. 	United States
U.S.S.R. 	Union of Soviet Socialist Republics
usu. 	usually
V
v., vb. 	verb
var(r)., vars. 	variant(s) of
vbl. sb. 	verbal substantive
Vertebr. 	(in titles) Vertebrate, -s
Vet. 	(as label) in Veterinary Science; (in titles) Veterinary
Vet. Sci. 	in Veterinary Science
viz. 	videlicet, 'namely'
Voy. 	(in titles) Voyage, -s
v.str. 	strong verb
vulg. 	vulgar
v.w. 	weak verb
W
W. 	Welsh; West
wd. 	word
Webster 	Webster's (New International) Dictionary
Westm. 	(in titles) Westminster
WGmc. 	West Germanic
Wks. 	(in titles) Works
w.midl. 	west midland (dialect)
WS. 	West Saxon
Y
(Y.) 	(quoted from) Yule & Burnell's Hobson- Jobson
Yrs. 	(in titles) Years
Z
Zoogeogr. 	in Zoogeography
Zool. 	(as label) in Zoology; (in titles) Zoology, - ical
