able abler ablest
craggy craggier craggiest
cranky crankier crankiest
crass crasser crassest
crawly crawlier crawliest
crazy crazier craziest
creaky creakier creakiest
creamy creamier creamiest
creepy creepier creepiest
crinkly crinklier crinkliest
crisp crisper crispest
crispy crispier crispiest
croaky croakier croakiest
cross crosser crossest
croupy croupier croupiest
cruel crueler cruelest
crummy crummier crummiest
crunchy crunchier crunchiest
crusty crustier crustiest
cuddly cuddlier cuddliest
curly curlier curliest
curt curter curtest
curvy curvier curviest
cushy cushier cushiest
cute cuter cutest
daffy daffier daffiest
daft dafter daftest
dainty daintier daintiest
damp damper dampest
dandy dandier dandiest
dank danker dankest
dark darker darkest
dead deader deadest
deadly deadlier deadliest
deaf deafer deafest
dear dearer dearest
deep deeper deepest
deft defter deftest
demure demurer demurest
dense denser densest
dewy dewier dewiest
dicey dicier diciest
dim dimmer dimmest
dingy dingier dingiest
dippy dippier dippiest
dire direr direst
dirty dirtier dirtiest
dizzy dizzier dizziest
dopey dopier dopiest
dotty dottier dottiest
doughty doughtier doughtiest
doughy doughier doughiest
dowdy dowdier dowdiest
downy downier downiest
drab drabber drabbest
drafty draftier draftiest
dreamy dreamier dreamiest
dreary drearier dreariest
dressy dressier dressiest
droopy droopier droopiest
drowsy drowsier drowsiest
dry drier driest
ducky duckier duckiest
dull duller dullest
dumb dumber dumbest
dumpy dumpier dumpiest
dusky duskier duskiest
dusty dustier dustiest
early earlier earliest
earthy earthier earthiest
easy easier easiest
edgy edgier edgiest
eery eerier eeriest
empty emptier emptiest
faint fainter faintest
fair fairer fairest
false falser falsest
fancy fancier fanciest
far farther farthest
far further furthest
fast faster fastest
fat fatter fattest
fatty fattier fattiest
faulty faultier faultiest
feeble feebler feeblest
few fewer fewest
fierce fiercer fiercest
fiery fierier fieriest
filmy filmier filmiest
filthy filthier filthiest
fine finer finest
firm firmer firmest
fishy fishier fishiest
fit fitter fittest
flabby flabbier flabbiest
flaky flakier flakiest
flashy flashier flashiest
flat flatter flattest
fleecy fleecier fleeciest
fleet fleeter fleetest
flighty flightier flightiest
flimsy flimsier flimsiest
flip flipper flippest
floppy floppier floppiest
fluffy fluffier fluffiest
foamy foamier foamiest
foggy foggier foggiest
folksy folksier folksiest
fond fonder fondest
foolhardy foolhardier foolhardiest
foul fouler foulest
foxy foxier foxiest
frail frailer frailest
frank franker frankest
freaky freakier freakiest
free freer freest
fresh fresher freshest
friendly friendlier friendliest
frizzy frizzier frizziest
frosty frostier frostiest
frothy frothier frothiest
frumpy frumpier frumpiest
full fuller fullest
funky funkier funkiest
funny funnier funniest
furry furrier furriest
fussy fussier fussiest
fuzzy fuzzier fuzziest
gabby gabbier gabbiest
game gamer gamest
gamy gamier gamiest
gaudy gaudier gaudiest
gaunt gaunter gauntest
gauzy gauzier gauziest
gawky gawkier gawkiest
gentle gentler gentlest
germy germier germiest
ghastly ghastlier ghastliest
giddy giddier giddiest
glad gladder gladdest
glairy glairier glairiest
glassy glassier glassiest
gleamy gleamier gleamiest
glib glibber glibbest
gloomy gloomier gloomiest
glossy glossier glossiest
gluey gluier gluiest
glum glummer glummest
godly godlier godliest
good better best
goodly goodlier goodliest
gooey gooier gooiest
goofy goofier goofiest
gory gorier goriest
gouty goutier goutiest
grabby grabbier grabbiest
grainy grainier grainiest
grand grander grandest
grassy grassier grassiest
grave graver gravest
gray grayer grayest
greasy greasier greasiest
great greater greatest
greedy greedier greediest
green greener greenest
grey greyer greyest
grim grimmer grimmest
grimy grimier grimiest
grippy grippier grippiest
gripy gripier gripiest
grisly grislier grisliest
gritty grittier grittiest
grizzly grizzlier grizzliest
groggy groggier groggiest
groovy groovier grooviest
gross grosser grossest
grouchy grouchier grouchiest
grubby grubbier grubbiest
gruff gruffer gruffest
grumpy grumpier grumpiest
grungy grungier grungiest
guilty guiltier guiltiest
gummy gummier gummiest
gushy gushier gushiest
gusty gustier gustiest
gutsy gutsier gutsiest
hairy hairier hairiest
hammy hammier hammiest
handsome handsomer handsomest
handy handier handiest
happy happier happiest
hard harder hardest
hardy hardier hardiest
harsh harsher harshest
hasty hastier hastiest
haughty haughtier haughtiest
hazy hazier haziest
heady headier headiest
healthy healthier healthiest
hearty heartier heartiest
heavy heavier heaviest
hefty heftier heftiest
high higher highest
hip hipper hippest
hoarse hoarser hoarsest
hokey hokier hokiest
holy holier holiest
homely homelier homeliest
homey homier homiest
hot hotter hottest
huffy huffier huffiest
huge huger hugest
humble humbler humblest
hungry hungrier hungriest
husky huskier huskiest
icky ickier ickiest
icy icier iciest
idle idler idlest
ill iller illest
inky inkier inkiest
itchy itchier itchiest
jaunty jauntier jauntiest
jazzy jazzier jazziest
jerky jerkier jerkiest
jolly jollier jolliest
jouncy jouncier jounciest
juicy juicier juiciest
jumpy jumpier jumpiest
keen keener keenest
kind kinder kindest
kindly kindlier kindliest
kingly kinglier kingliest
knobby knobbier knobbiest
knotty knottier knottiest
kooky kookier kookiest
lacy lacier laciest
lame lamer lamest
lank lanker lankest
lanky lankier lankiest
large larger largest
late later latest
lax laxer laxest
lazy lazier laziest
leafy leafier leafiest
leaky leakier leakiest
lean leaner leanest
leery leerier leeriest
lengthy lengthier lengthiest
light lighter lightest
likely likelier likeliest
linty lintier lintiest
lithe lither lithest
little littler littlest
lively livelier liveliest
loamy loamier loamiest
lofty loftier loftiest
lonely lonelier loneliest
long longer longest
loony loonier looniest
loose looser loosest
lordly lordlier lordliest
loud louder loudest
lousy lousier lousiest
lovely lovelier loveliest
low lower lowest
lowly lowlier lowliest
lucky luckier luckiest
lumpy lumpier lumpiest
mad madder maddest
mangy mangier mangiest
manly manlier manliest
marshy marshier marshiest
mature maturer maturest
mealy mealier mealiest
mean meaner meanest
measly measlier measliest
meaty meatier meatiest
meek meeker meekest
mellow mellower mellowest
mere merer merest
merry merrier merriest
messy messier messiest
mighty mightier mightiest
mild milder mildest
milky milkier milkiest
minty mintier mintiest
minute minuter minutest
misty mistier mistiest
moist moister moistest
moldy moldier moldiest
moody moodier moodiest
mopy mopier mopiest
mossy mossier mossiest
mouldy mouldier mouldiest
mousy mousier mousiest
mouthy mouthier mouthiest
mucky muckier muckiest
muddy muddier muddiest
muggy muggier muggiest
murky murkier murkiest
mushy mushier mushiest
musty mustier mustiest
naive naiver naivest
narrow narrower narrowest
nasty nastier nastiest
natty nattier nattiest
naughty naughtier naughtiest
near nearer nearest
neat neater neatest
needy needier neediest
nervy nervier nerviest
new newer newest
newsy newsier newsiest
nice nicer nicest
nifty niftier niftiest
nimble nimbler nimblest
nippy nippier nippiest
noble nobler noblest
noisy noisier noisiest
nosy nosier nosiest
numb number numbest
nutty nuttier nuttiest
obscure obscurer obscurest
odd odder oddest
oily oilier oiliest
old elder eldest
old older oldest
oozy oozier ooziest
pale paler palest
palmy palmier palmiest
paltry paltrier paltriest
pasty pastier pastiest
patchy patchier patchiest
pearly pearlier pearliest
pebbly pebblier pebbliest
peppy peppier peppiest
perky perkier perkiest
pert perter pertest
pesky peskier peskiest
petty pettier pettiest
phlegmy phlegmier phlegmiest
phony phonier phoniest
picky pickier pickiest
piggy piggier piggiest
pimply pimplier pimpliest
pink pinker pinkest
pithy pithier pithiest
plain plainer plainest
plucky pluckier pluckiest
plump plumper plumpest
plumy plumier plumiest
plush plusher plushest
pointy pointier pointiest
poky pokier pokiest
polite politer politest
poor poorer poorest
porky porkier porkiest
portly portlier portliest
posh posher poshest
pretty prettier prettiest
prickly pricklier prickliest
prim primmer primmest
prissy prissier prissiest
profound profounder profoundest
prosy prosier prosiest
proud prouder proudest
pudgy pudgier pudgiest
puffy puffier puffiest
pulpy pulpier pulpiest
punchy punchier punchiest
puny punier puniest
pure purer purest
pushy pushier pushiest
quaint quainter quaintest
quaky quakier quakiest
queasy queasier queasiest
quick quicker quickest
quiet quieter quietest
quirky quirkier quirkiest
rainy rainier rainiest
rangy rangier rangiest
rank ranker rankest
rare rarer rarest
raspy raspier raspiest
ratty rattier rattiest
raw rawer rawest
ready readier readiest
real realer realest
red redder reddest
reedy reedier reediest
remote remoter remotest
rich richer richest
ripe riper ripest
risky riskier riskiest
ritzy ritzier ritziest
rocky rockier rockiest
roomy roomier roomiest
rosy rosier rosiest
rotten rottener rottenest
rough rougher roughest
rowdy rowdier rowdiest
ruddy ruddier ruddiest
rude ruder rudest
runny runnier runniest
runty runtier runtiest
rusty rustier rustiest
sad sadder saddest
safe safer safest
sage sager sagest
saggy saggier saggiest
saintly saintlier saintliest
salty saltier saltiest
sandy sandier sandiest
sane saner sanest
sappy sappier sappiest
sassy sassier sassiest
saucy saucier sauciest
scabby scabbier scabbiest
scaly scalier scaliest
scanty scantier scantiest
scarce scarcer scarcest
scary scarier scariest
schmaltzy schmaltzier schmaltziest
scraggly scragglier scraggliest
scrappy scrappier scrappiest
scratchy scratchier scratchiest
scrawny scrawnier scrawniest
screechy screechier screechiest
scrimpy scrimpier scrimpiest
scrubby scrubbier scrubbiest
scruffy scruffier scruffiest
scurvy scurvier scurviest
secure securer securest
seemly seemlier seemliest
severe severer severest
shabby shabbier shabbiest
shady shadier shadiest
shaggy shaggier shaggiest
shaky shakier shakiest
shallow shallower shallowest
shapely shapelier shapeliest
sharp sharper sharpest
shifty shiftier shiftiest
shiny shinier shiniest
shoddy shoddier shoddiest
short shorter shortest
showy showier showiest
shrewd shrewder shrewdest
shrill shriller shrillest
shy shyer shyest
sick sicker sickest
sickly sicklier sickliest
sightly sightlier sightliest
silky silkier silkiest
silly sillier silliest
silty siltier siltiest
simple simpler simplest
sincere sincerer sincerest
sketchy sketchier sketchiest
skinny skinnier skinniest
slangy slangier slangiest
slaphappy slaphappier slaphappiest
sleek sleeker sleekest
sleepy sleepier sleepiest
sleety sleetier sleetiest
slender slenderer slenderest
slick slicker slickest
slight slighter slightest
slim slimmer slimmest
slimy slimier slimiest
slippery slipperier slipperiest
sloppy sloppier sloppiest
sloshy sloshier sloshiest
slouchy slouchier slouchiest
slow slower slowest
sludgy sludgier sludgiest
slushy slushier slushiest
sly slier sliest
sly slyer slyest
small smaller smallest
smart smarter smartest
smeary smearier smeariest
smelly smellier smelliest
smoggy smoggier smoggiest
smoky smokier smokiest
smooth smoother smoothest
smudgy smudgier smudgiest
smug smugger smuggest
snaky snakier snakiest
snappy snappier snappiest
snarly snarlier snarliest
sneaky sneakier sneakiest
sneezy sneezier sneeziest
snide snider snidest
snippy snippier snippiest
snobby snobbier snobbiest
snoopy snoopier snoopiest
snooty snootier snootiest
snowy snowier snowiest
snug snugger snuggest
soapy soapier soapiest
sober soberer soberest
soft softer softest
soggy soggier soggiest
solid solider solidest
soon sooner soonest
sooty sootier sootiest
soppy soppier soppiest
sore sorer sorest
sorry sorrier sorriest
sound sounder soundest
soupy soupier soupiest
sour sourer sourest
spare sparer sparest
sparse sparser sparsest
speedy speedier speediest
spicy spicier spiciest
spiffy spiffier spiffiest
spiky spikier spikiest
spindly spindlier spindliest
spiny spinier spiniest
splashy splashier splashiest
splotchy splotchier splotchiest
spongy spongier spongiest
sporty sportier sportiest
spotty spottier spottiest
sprightly sprightlier sprightliest
springy springier springiest
spry sprier spriest
spry spryer spryest
spunky spunkier spunkiest
squabby squabbier squabbiest
square squarer squarest
squashy squashier squashiest
squatty squattier squattiest
squeaky squeakier squeakiest
squirmy squirmier squirmiest
stagy stagier stagiest
staid staider staidest
stale staler stalest
starchy starchier starchiest
stark starker starkest
starry starrier starriest
stately statelier stateliest
steady steadier steadiest
stealthy stealthier stealthiest
steamy steamier steamiest
steely steelier steeliest
steep steeper steepest
stern sterner sternest
sticky stickier stickiest
stiff stiffer stiffest
still stiller stillest
stingy stingier stingiest
stinky stinkier stinkiest
stocky stockier stockiest
stodgy stodgier stodgiest
stony stonier stoniest
stormy stormier stormiest
stout stouter stoutest
straggly stragglier straggliest
straight straighter straightest
strange stranger strangest
streaky streakier streakiest
stretchy stretchier stretchiest
strict stricter strictest
stringy stringier stringiest
strong stronger strongest
stubborn stubborner stubbornest
stubby stubbier stubbiest
stuffy stuffier stuffiest
stumpy stumpier stumpiest
stupid stupider stupidest
sturdy sturdier sturdiest
sudsy sudsier sudsiest
sulky sulkier sulkiest
sultry sultrier sultriest
sunny sunnier sunniest
supple suppler supplest
sure surer surest
surly surlier surliest
svelte svelter sveltest
swampy swampier swampiest
swanky swankier swankiest
swarthy swarthier swarthiest
sweaty sweatier sweatiest
sweet sweeter sweetest
swift swifter swiftest
tacky tackier tackiest
talky talkier talkiest
tall taller tallest
tame tamer tamest
tan tanner tannest
tangy tangier tangiest
tardy tardier tardiest
tart tarter tartest
tasty tastier tastiest
taut tauter tautest
tawdry tawdrier tawdriest
tawny tawnier tawniest
teary tearier teariest
teeny teenier teeniest
tense tenser tensest
terse terser tersest
testy testier testiest
tetchy tetchier tetchiest
thick thicker thickest
thin thinner thinnest
thirsty thirstier thirstiest
thorny thornier thorniest
thready threadier threadiest
thrifty thriftier thriftiest
throaty throatier throatiest
tidy tidier tidiest
tight tighter tightest
tinny tinnier tinniest
tiny tinier tiniest
tipsy tipsier tipsiest
toothy toothier toothiest
touchy touchier touchiest
tough tougher toughest
trendy trendier trendiest
tricky trickier trickiest
trim trimmer trimmest
trite triter tritest
true truer truest
trusty trustier trustiest
twangy twangier twangiest
tweedy tweedier tweediest
ugly uglier ugliest
unhealthy unhealthier unhealthiest
unruly unrulier unruliest
vague vaguer vaguest
vile viler vilest
wacky wackier wackiest
wan wanner wannest
warm warmer warmest
warty wartier wartiest
wary warier wariest
wavy wavier waviest
waxy waxier waxiest
weak weaker weakest
wealthy wealthier wealthiest
weary wearier weariest
weedy weedier weediest
weepy weepier weepiest
weighty weightier weightiest
weird weirder weirdest
wet wetter wettest
wheezy wheezier wheeziest
whiny whinier whiniest
white whiter whitest
wide wider widest
wild wilder wildest
wily wilier wiliest
windy windier windiest
wintry wintrier wintriest
wiry wirier wiriest
wise wiser wisest
wispy wispier wispiest
witty wittier wittiest
wobbly wobblier wobbliest
woodsy woodsier woodsiest
woody woodier woodiest
woolly woollier woolliest
woozy woozier wooziest
wordy wordier wordiest
worldly worldlier worldliest
wormy wormier wormiest
worthy worthier worthiest
wriggly wrigglier wriggliest
wry wrier wriest
yeasty yeastier yeastiest
young younger youngest
yummy yummier yummiest
zany zanier zaniest
zippy zippier zippiest 
